Location,Address,Full Address,City,City Name,Latitude,Latitude Value,Longitude,Longitude Value,Labels,Label 1,Label 2,Label 3,Label 4,Full Labels,Coupon,Coupon String
Location,Address,400 Terminal Rd,City, East Boston,Latitude,42.36961,Longitude,-71.01897,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,161 Charles St,City, Boston,Latitude,42.360803,Longitude,-71.070314,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,895 Morton St,City, Boston,Latitude,42.280653,Longitude,-71.08405,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,1 South Station,City, Boston,Latitude,42.351974,Longitude,-71.054973,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,BU Kenmore Square,City,Boston,Latitude,42.348684,Longitude,-71.095296,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,4 Tall Coffee Free with $25 Purchase
Location,Address,443 Boylston Street,City,Boston ,Latitude,42.351504,Longitude,-71.072997,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,3 Tall Coffee Free with $25 Purchase
Location,Address,84 State Street,City,Boston,Latitude,42.359121,Longitude,-71.0556,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,2 Tall Coffee Free with $25 Purchase
Location,Address,755 Boylston St,City,Boston,Latitude,42.349256,Longitude,-71.080937,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,1 Tall Coffee Free with $25 Purchase
Location,Address,211 Congress,City,Boston,Latitude,42.354673,Longitude,-71.054837,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,0 Tall Coffee Free with $25 Purchase
Location,Address,27 School Street,City,Boston,Latitude,42.357726,Longitude,-71.05922,Labels,Starbucks, Starbs,Frap, Coffee,"[""Starbucks"","" Starbs"",""Frap"","" Coffee""]",Coupon,1 Tall Coffee Free with $25 Purchase
